Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
"mom of the graduate shirt",221,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1038585,18.15,11,197.04,14,4.50,1,30,,-111,-9,"May, 2025",4,3000,1.47
"democratic 4th of july shirt",199,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1021467,17.27,124,2192.5,8,4.74,1,200,942,0,-24,"Jun, 2025",2,608,46.96
"tyler the creator merch shirt",144,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",14,405101,33.58,121,4600.25,13,4.57,1,0,,0,0,"Dec, 2024",0,128,16.66
"rism with the tism shirt",247,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,773463,17.26,36,600.5,6,4.89,1,136,,0,-37,"Dec, 2024",0,110,4.27
"trump ymca qr code shirt",132,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",9,837645,21.71,246,6184.72,18,4.63,1,0,,0,13,"Jun, 2025",0,74,11.02
"whos a good boy shirt",200,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",15,1491486,19.99,46,788.79,6,4.13,2,5,,-62,-41,"Jun, 2025",0,10000,9.67
"let me stim bro shirt",57,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1393040,16.8,8,130.08,15,4.92,1,77,,0,0,"Mar, 2024",2,110,1.64
"i beat my boyfriend shirt",373,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",17,660373,15.45,106,1340.91,16,4.53,2,314,,0,0,"Jun, 2025",0,351,29.85
"chris brown graphic t shirt",459,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",36,176070,18.31,146,3204.31,12,4.16,2,39,,0,-24,"Jul, 2025",1,1000,13.52
"anti 4th of july shirt",162,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",10,952537,17.21,79,1369.85,8,4.55,1,98,433,0,-36,"Jun, 2025",3,1000,18.10
"feminist 4th of july shirt",265,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,949030,17.2,210,3312.32,8,4.77,1,76,479,0,0,"Jun, 2025",2,992,47.98
"disappointments all of you shirt",321,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",4,1213159,16.85,27,444.42,13,4.43,1,141,,0,-2,"Apr, 2025",2,247,3.38
"golden birthday shirt for girls",254,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,1130436,16.95,11,194.66,4,4.20,1,24,,0,-22,"Jul, 2025",1,40000,8.02
"50 days of school shirt",37,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,486746,15.26,12,178.49,7,4.90,1,9,-59,0,0,"Jul, 2025",0,40000,25.41
"trump vance elon kennedy shirt",89,"Clothing, Shoes & Jewelry",Amazon,"Large Standard-Size",0,844494,16.63,26,432.84,19,4.77,1,0,,-93,-6,"Mar, 2025",2,111,2.96
